game_id,home_club_id,away_club_id,home_club_total_shots,away_club_total_shots,home_club_shots_off_target,away_club_shots_off_target,home_club_shots_saved,away_club_shots_saved,home_club_corners,away_club_corners,home_club_free_kicks,away_club_free_kicks,home_club_fouls,away_club_fouls,home_club_offsides,away_club_offsides
2735590,347,583,2.0,6.0,4.0,5.0,3.0,0.0,1.0,8.0,11.0,13.0,11.0,11.0,2.0,0.0
2735577,1420,855,5.0,2.0,8.0,5.0,2.0,2.0,8.0,3.0,8.0,13.0,11.0,6.0,2.0,2.0
2735555,595,618,1.0,2.0,4.0,6.0,2.0,1.0,4.0,4.0,18.0,10.0,9.0,16.0,1.0,2.0
2735508,995,1159,4.0,3.0,6.0,1.0,1.0,4.0,9.0,5.0,13.0,16.0,15.0,12.0,1.0,1.0
2849358,610,1041,16.0,7.0,5.0,5.0,4.0,11.0,6.0,8.0,10.0,19.0,17.0,10.0,2.0,0.0
2849343,162,506,5.0,5.0,3.0,1.0,3.0,5.0,7.0,3.0,14.0,11.0,11.0,14.0,0.0,0.0
2840939,1003,13,5.0,3.0,7.0,2.0,2.0,4.0,7.0,1.0,9.0,10.0,9.0,7.0,1.0,2.0
2806748,252,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2805658,1050,12,7.0,8.0,6.0,6.0,4.0,7.0,5.0,5.0,19.0,16.0,12.0,19.0,4.0,0.0
2758726,10690,234,3.0,1.0,10.0,2.0,0.0,2.0,3.0,2.0,18.0,7.0,5.0,17.0,2.0,1.0
2758703,46,180,1.0,3.0,4.0,5.0,3.0,0.0,6.0,7.0,17.0,8.0,8.0,14.0,0.0,3.0
2758695,940,610,3.0,5.0,7.0,3.0,3.0,1.0,5.0,3.0,21.0,10.0,10.0,21.0,0.0,0.0
2758693,1184,621,5.0,3.0,2.0,3.0,3.0,3.0,6.0,8.0,15.0,19.0,15.0,10.0,4.0,5.0
2755694,281,131,4.0,2.0,6.0,2.0,1.0,1.0,5.0,7.0,18.0,18.0,16.0,16.0,2.0,2.0
2871831,18,533,8.0,6.0,6.0,5.0,3.0,5.0,9.0,3.0,19.0,13.0,10.0,16.0,3.0,3.0
2871795,86,3,5.0,3.0,3.0,4.0,2.0,3.0,7.0,3.0,14.0,17.0,15.0,12.0,2.0,2.0
2871780,41,86,7.0,3.0,5.0,4.0,3.0,7.0,6.0,7.0,30.0,13.0,13.0,27.0,0.0,3.0
2871698,39,533,7.0,6.0,7.0,6.0,3.0,5.0,5.0,11.0,17.0,11.0,9.0,13.0,2.0,4.0
2871680,42,60,6.0,4.0,6.0,4.0,3.0,4.0,3.0,4.0,7.0,13.0,13.0,7.0,0.0,0.0
