game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
3081356,5,1,4.0,Gennaro Gattuso,130,1,14.0,Roberto D'Aversa,Away,0
3081401,416,1,7.0,Walter Mazzarri,749,4,17.0,Aurelio Andreazzoli,Away,0
3081404,252,0,17.0,Cesare Prandelli,430,0,16.0,Vincenzo Montella,Away,0
3081407,5,3,5.0,Gennaro Gattuso,2722,2,13.0,Leonardo Semplici,Away,1
3097985,33,1,,Domenico Tedesco,932,0,,Yuri Semin,Away,1
3097994,1049,0,,Marcelino,985,0,,José Mourinho,Away,0
3098006,1041,3,,Bruno Génésio,533,3,,Julian Nagelsmann,Away,0
3098009,1049,1,,Marcelino,452,1,,Gerardo Seoane,Away,0
3098030,46,0,,Luciano Spalletti,148,1,,Mauricio Pochettino,Away,0
3098031,31,1,,Jürgen Klopp,583,2,,Thomas Tuchel,Away,0
3098039,941,2,,Pavel Vrba,2410,1,,Viktor Goncharenko,Away,1
3098052,27,3,,Niko Kovac,610,3,,Erik ten Hag,Away,0
3098668,2740,2,,Vasyl Sachko,11,4,,Unai Emery,Away,0
3098675,10217,1,,Geir Bakke,114,3,,Senol Günes,Away,0
3098730,11107,2,,Marko Nikolic,1091,0,,Razvan Lucescu,Away,1
3098735,3057,1,,Michel Preud'homme,16704,2,,Murad Musaev,Away,0
3098760,62,0,,Jindrich Trpisovsky,40,2,,Ricardo Gomes,Away,0
3098763,336,6,,Marcel Keizer,10625,1,,Qurban Qurbanov,Away,1
3098799,2740,0,,Vasyl Sachko,336,3,,Marcel Keizer,Away,0
3135811,12,1,,Eusebio Di Francesco,720,3,,Sérgio Conceição,Away,0
3135813,31,3,,Jürgen Klopp,27,1,,Niko Kovac,Away,1
3135837,46,1,,Luciano Spalletti,170,0,,Dietmar Kühbauer,Away,1
3135848,1050,1,,Javier Calleja,336,0,,Marcel Keizer,Away,1
3135871,683,0,,Pedro Martins,338,1,,Aleksandr Khatskevich,Away,0
3167761,506,1,,Massimiliano Allegri,610,1,,Erik ten Hag,Away,0
3167765,281,0,,Pep Guardiola,148,1,,Mauricio Pochettino,Away,0
3177022,31,0,,Jürgen Klopp,131,3,,Ernesto Valverde,Away,0
3177131,11,4,,Unai Emery,1049,2,,Marcelino,Away,1
3195255,2969,0,18.0,Stéphane Jobard,415,1,7.0,Alain Casanova,Away,0
3199395,583,2,1.0,Thomas Tuchel,347,0,15.0,Vincent Hognon,Away,1
3199402,415,2,10.0,Alain Casanova,618,2,15.0,Ghislain Printant,Away,0
3199417,417,1,7.0,Patrick Vieira,162,3,18.0,Leonardo Jardim,Away,0
3199422,1160,0,12.0,Bernard Blaquart,969,1,10.0,Michel Der Zakarian,Away,0
3199423,244,0,6.0,André Villas-Boas,2969,0,20.0,Stéphane Jobard,Away,0
3199426,40,3,5.0,Paulo Sousa,1416,1,15.0,Luka Elsner,Away,1
3199442,1420,0,3.0,Stéphane Moulin,583,4,1.0,Thomas Tuchel,Away,0
3199452,618,1,10.0,Claude Puel,40,0,6.0,Paulo Sousa,Away,1
3199453,1416,1,13.0,Luka Elsner,1160,1,18.0,Bernard Blaquart,Away,0
3199457,417,0,15.0,Patrick Vieira,667,1,16.0,Thierry Laurey,Away,0
3199468,273,1,8.0,Julien Stéphan,1160,0,20.0,Bernard Blaquart,Away,1
3199470,162,0,15.0,Leonardo Jardim,618,1,9.0,Claude Puel,Away,0
3199496,273,1,6.0,Julien Stéphan,2969,2,17.0,Stéphane Jobard,Away,0
3199502,618,1,10.0,Claude Puel,273,2,3.0,Julien Stéphan,Away,0
3199520,583,3,1.0,Thomas Tuchel,969,1,10.0,Michel Der Zakarian,Away,1
3199547,1160,1,20.0,Bernard Blaquart,244,3,2.0,André Villas-Boas,Away,0
3199560,1420,0,9.0,Stéphane Moulin,244,0,2.0,André Villas-Boas,Away,0
3199562,347,1,16.0,Vincent Hognon,1421,0,11.0,David Guion,Away,1
3199574,1082,2,4.0,Christophe Galtier,667,1,11.0,Thierry Laurey,Away,1
3199577,618,1,15.0,Claude Puel,347,3,16.0,Vincent Hognon,Away,0
3199593,618,0,15.0,Claude Puel,969,1,5.0,Michel Der Zakarian,Away,0
3199635,1421,1,8.0,David Guion,162,1,7.0,Robert Moreno,Away,0
3199636,244,3,2.0,André Villas-Boas,1160,2,18.0,Bernard Blaquart,Away,1
3199637,667,0,10.0,Thierry Laurey,969,3,6.0,Michel Der Zakarian,Away,0
3203424,44,2,9.0,Ante Covic,27,2,8.0,Niko Kovac,Away,0
3203426,127,2,12.0,Steffen Baumgart,15,3,5.0,Peter Bosz,Away,0
3203446,18,3,7.0,Marco Rose,39,1,18.0,Sandro Schwarz,Away,1
3203469,3,0,16.0,Achim Beierlorzer,27,4,2.0,Niko Kovac,Away,0
3203499,44,1,10.0,Ante Covic,86,1,12.0,Florian Kohfeldt,Away,0
3203502,27,2,3.0,Niko Kovac,167,2,16.0,Martin Schmidt,Away,0
3203503,127,0,18.0,Steffen Baumgart,3,3,15.0,Achim Beierlorzer,Away,0
3203510,3,1,16.0,Achim Beierlorzer,39,3,13.0,Sandro Schwarz,Away,0
3203523,16,0,6.0,Lucien Favre,27,4,3.0,Hansi Flick,Away,0
3203531,167,1,15.0,Martin Schmidt,127,0,18.0,Steffen Baumgart,Away,1
3203532,127,3,18.0,Steffen Baumgart,16,3,6.0,Lucien Favre,Away,0
3203560,18,1,2.0,Marco Rose,82,2,8.0,Oliver Glasner,Away,0
3203579,16,1,4.0,Lucien Favre,533,2,7.0,Alfred Schreuder,Away,0
3203584,86,0,17.0,Florian Kohfeldt,3,1,15.0,Markus Gisdol,Away,0
3203595,33,0,6.0,David Wagner,27,5,2.0,Hansi Flick,Away,0
3203616,38,1,16.0,Uwe Rösler,82,1,10.0,Oliver Glasner,Away,0
3203628,27,4,1.0,Hansi Flick,3,1,14.0,Markus Gisdol,Away,1
3203629,44,2,13.0,Alexander Nouri,127,1,18.0,Steffen Baumgart,Away,1
3203638,38,2,16.0,Uwe Rösler,60,0,9.0,Christian Streich,Away,1
3203639,23826,5,2.0,Julian Nagelsmann,33,0,6.0,David Wagner,Away,1
3203646,18,3,3.0,Marco Rose,167,2,13.0,Martin Schmidt,Away,1
3203708,167,1,13.0,Heiko Herrlich,39,0,15.0,Achim Beierlorzer,Away,1
3203735,3,1,14.0,Markus Gisdol,86,6,16.0,Florian Kohfeldt,Away,0
3208645,1050,1,18.0,Javier Calleja,3368,2,10.0,Paco López,Away,0
3208658,418,2,5.0,Zinédine Zidane,1050,2,16.0,Javier Calleja,Away,0
3208730,3709,0,11.0,Pepe Bordalás,368,2,5.0,Julen Lopetegui,Away,0
3208779,681,1,6.0,Imanol Alguacil,418,3,2.0,Zinédine Zidane,Away,0
3208806,150,2,10.0,Rubi,714,2,20.0,Pablo Machín,Away,0
3208807,366,0,15.0,Sergio,3709,2,4.0,Pepe Bordalás,Away,0
3208817,368,2,3.0,Julen Lopetegui,237,0,17.0,Vicente Moreno,Away,1
3208836,3709,3,5.0,Pepe Bordalás,1244,0,19.0,Javier Aguirre,Away,1
3209792,3709,2,4.0,Pepe Bordalás,621,0,9.0,Gaizka Garitano,Away,1
3209800,940,0,19.0,Óscar García,1049,1,5.0,Albert Celades,Away,0
3209810,621,1,9.0,Gaizka Garitano,681,2,6.0,Imanol Alguacil,Away,0
3209959,3709,1,3.0,Pepe Bordalás,131,2,2.0,Quique Setién,Away,0
3209979,3368,0,11.0,Paco López,1533,3,16.0,José Luis Mendilibar,Away,0
3210035,681,0,6.0,Imanol Alguacil,1108,2,12.0,Asier Garitano,Away,0
3210087,681,1,7.0,Imanol Alguacil,3709,2,5.0,Pepe Bordalás,Away,0
3210102,3368,0,12.0,Paco López,366,0,14.0,Sergio,Away,0
3210113,368,2,3.0,Julen Lopetegui,621,1,10.0,Gaizka Garitano,Away,1
3211345,7378,2,5.0,António Folha,7179,1,14.0,Natxo González,Away,1
3211473,979,3,15.0,Vítor Campelos,3329,3,3.0,João Pedro Sousa,Away,0
3211475,720,1,2.0,Sérgio Conceição,2503,0,7.0,Lito Vidigal,Away,1
3211503,3329,0,4.0,João Pedro Sousa,294,4,1.0,Bruno Lage,Away,0
3211792,2423,0,14.0,João Henriques,2420,1,6.0,Ivo Vieira,Away,0
3211798,2423,1,12.0,João Henriques,3329,0,4.0,João Pedro Sousa,Away,1
3211818,336,0,5.0,Silas,1075,1,3.0,Rúben Amorim,Away,0
3211830,2424,2,10.0,Vítor Oliveira,1085,1,11.0,Julio Velázquez,Away,1
3211834,3336,1,18.0,Nuno Manta Santos,3329,1,5.0,João Pedro Sousa,Away,0
3211847,720,2,1.0,Sérgio Conceição,2423,0,8.0,João Henriques,Away,1
3212600,3336,0,18.0,Nuno Manta Santos,336,2,4.0,Rúben Amorim,Away,0
3212610,2995,3,16.0,Pêpa,2425,2,6.0,Carlos Carvalhal,Away,1
3212622,2423,2,8.0,João Henriques,1085,2,12.0,Julio Velázquez,Away,0
3212632,1085,1,12.0,Julio Velázquez,2503,3,8.0,Daniel Ramos,Away,0
